taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Bailhongal,Belagavi,15.796629,74.814277,2022,0.587,0.0963,0.587,0.587,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Bailhongal,Belagavi,15.796629,74.814277,2023,0.5139,0.0895,0.5139,0.5139,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Ramadurg,Belagavi,16.00693,75.265532,2019,0.2936,0.0458,0.2936,0.2936,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Ramadurg,Belagavi,16.00693,75.265532,2020,0.2807,0.0383,0.2807,0.2807,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Ramadurg,Belagavi,16.00693,75.265532,2021,0.3593,0.0576,0.3593,0.3593,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Ramadurg,Belagavi,16.00693,75.265532,2022,0.3275,0.1017,0.3275,0.3275,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Ramadurg,Belagavi,16.00693,75.265532,2023,0.3188,0.1009,0.3188,0.3188,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kitthuru,Belagavi,15.625778,74.767278,2019,0.401,0.1482,0.401,0.401,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kitthuru,Belagavi,15.625778,74.767278,2020,0.3566,0.1823,0.3566,0.3566,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Kitthuru,Belagavi,15.625778,74.767278,2021,0.451,0.1684,0.451,0.451,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kitthuru,Belagavi,15.625778,74.767278,2022,0.3762,0.197,0.3762,0.3762,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Kitthuru,Belagavi,15.625778,74.767278,2023,0.3484,0.117,0.3484,0.3484,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Nippani,Belagavi,16.496618,74.401564,2019,0.5904,0.0693,0.5904,0.5904,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Nippani,Belagavi,16.496618,74.401564,2020,0.49,0.1229,0.49,0.49,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Nippani,Belagavi,16.496618,74.401564,2021,0.4756,0.109,0.4756,0.4756,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Nippani,Belagavi,16.496618,74.401564,2022,0.4359,0.102,0.4359,0.4359,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Nippani,Belagavi,16.496618,74.401564,2023,0.5593,0.115,0.5593,0.5593,1,landsat-9,Landsat C2 L2 (Planetary Computer)
