point_id_yr,year,avg_monthly_rainfall_mm,max_temp_c,min_temp_c,avg_humidity_pct,avg_root_zone_wetness,api_source
CHE_009_2021,2021,3.12,32.26,16.0,73.51,0.7,NASA POWER (Regional 0.5° Grid)
CHE_009_2022,2022,4.31,32.01,15.66,74.42,0.74,NASA POWER (Regional 0.5° Grid)
CHE_009_2023,2023,1.89,33.64,16.54,67.51,0.63,NASA POWER (Regional 0.5° Grid)
RON_000_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_000_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_000_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_000_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_000_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_001_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_001_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_001_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_001_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_001_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_002_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_002_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_002_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_002_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_002_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_003_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_003_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_003_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_003_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_003_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_004_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_004_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_004_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_004_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_004_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_005_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_005_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_005_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_005_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_005_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_006_2019,2019,2.45,34.94,17.82,62.52,0.68,NASA POWER (Regional 0.5° Grid)
RON_006_2020,2020,3.01,33.88,17.53,68.48,0.71,NASA POWER (Regional 0.5° Grid)
RON_006_2021,2021,2.58,33.8,16.97,68.32,0.68,NASA POWER (Regional 0.5° Grid)
RON_006_2022,2022,2.64,34.22,16.85,67.41,0.69,NASA POWER (Regional 0.5° Grid)
RON_006_2023,2023,1.48,35.65,17.76,57.92,0.63,NASA POWER (Regional 0.5° Grid)
RON_007_2019,2019,2.06,35.68,17.89,59.7,0.66,NASA POWER (Regional 0.5° Grid)
RON_007_2020,2020,2.59,34.56,17.61,65.32,0.69,NASA POWER (Regional 0.5° Grid)
RON_007_2021,2021,2.16,34.61,17.39,64.82,0.66,NASA POWER (Regional 0.5° Grid)
