point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
HIR_003,Hirekerur,14.501941385874701,75.38974856120231,29.2,38.6,32.2,6.6,1.65,204.0,139.0,ISRIC SoilGrids v2.0
HIR_004,Hirekerur,14.453165983393228,75.4505463092278,33.5,36.9,29.6,7.0,1.65,186.0,142.0,ISRIC SoilGrids v2.0
HIR_005,Hirekerur,14.459735991194274,75.3703722940118,34.6,36.1,29.3,6.6,1.36,183.0,141.0,ISRIC SoilGrids v2.0
HIR_006,Hirekerur,14.39568111548035,75.42063475031107,33.0,39.7,27.3,6.6,1.71,242.0,139.0,ISRIC SoilGrids v2.0
HIR_007,Hirekerur,14.392905404237256,75.37064151255007,32.7,35.9,31.4,6.8,1.83,226.0,139.0,ISRIC SoilGrids v2.0
HIR_008,Hirekerur,14.489583087829162,75.37532587753363,34.7,38.9,26.4,6.6,1.48,178.0,137.0,ISRIC SoilGrids v2.0
HIR_009,Hirekerur,14.385816261992526,75.41744599310178,32.8,39.1,28.1,6.7,1.67,201.0,140.0,ISRIC SoilGrids v2.0
ALM_000,Almel,17.00087528208826,76.1135667703775,33.4,37.8,28.7,7.5,1.18,169.0,147.0,ISRIC SoilGrids v2.0
ALM_001,Almel,17.072575190702125,76.21002911920037,40.1,33.3,26.6,7.3,1.18,207.0,145.0,ISRIC SoilGrids v2.0
ALM_002,Almel,17.092651914444257,76.24177018048468,36.7,33.2,30.0,7.2,1.22,200.0,151.0,ISRIC SoilGrids v2.0
ALM_003,Almel,17.078166379328106,76.27344872387042,38.9,33.8,27.3,7.3,1.18,207.0,146.0,ISRIC SoilGrids v2.0
ALM_004,Almel,17.07367416594212,76.42812824917497,40.0,34.1,25.8,7.2,1.18,169.0,148.0,ISRIC SoilGrids v2.0
ALM_005,Almel,17.06924249037774,76.25680604313492,39.1,33.6,27.3,7.3,1.12,160.0,144.0,ISRIC SoilGrids v2.0
ALM_006,Almel,17.05021851830491,76.18414486249618,37.5,35.2,27.2,7.5,1.17,175.0,150.0,ISRIC SoilGrids v2.0
ALM_007,Almel,17.049887068112977,76.35188448011259,38.3,33.7,28.0,7.5,1.23,182.0,,ISRIC SoilGrids v2.0
ALM_008,Almel,16.99094542862005,76.37345948849054,36.0,36.1,28.0,7.2,1.16,174.0,148.0,ISRIC SoilGrids v2.0
ALM_009,Almel,17.02875422751998,76.32403667827904,36.2,35.5,28.2,7.3,1.24,174.0,148.0,ISRIC SoilGrids v2.0
KAL_000,Kalasa,13.293364678911077,75.43301750971948,36.2,38.3,25.5,5.4,4.7,547.0,105.0,ISRIC SoilGrids v2.0
KAL_001,Kalasa,13.262317199834902,75.32025414697078,33.3,38.7,28.1,5.5,4.51,550.0,101.0,ISRIC SoilGrids v2.0
KAL_002,Kalasa,13.222772963702068,75.43122859500137,33.1,40.2,26.7,5.4,5.72,603.0,107.0,ISRIC SoilGrids v2.0
KAL_003,Kalasa,13.274872036729557,75.25446612421959,36.3,36.9,26.7,5.6,5.76,597.0,101.0,ISRIC SoilGrids v2.0
KAL_004,Kalasa,13.201124183174818,75.22557373698179,36.2,42.1,21.7,5.5,4.29,473.0,112.0,ISRIC SoilGrids v2.0
KAL_005,Kalasa,13.268965543609497,75.42576464842617,33.9,41.3,24.8,5.5,4.07,458.0,114.0,ISRIC SoilGrids v2.0
KAL_006,Kalasa,13.1660237615672,75.28254485661795,40.3,33.5,26.2,5.7,4.63,605.0,107.0,ISRIC SoilGrids v2.0
KAL_007,Kalasa,13.180032621900121,75.26771097808431,32.5,40.4,27.1,5.6,4.79,561.0,106.0,ISRIC SoilGrids v2.0
KAL_008,Kalasa,13.214381027926763,75.2354966476859,34.8,42.5,22.7,5.5,3.35,431.0,119.0,ISRIC SoilGrids v2.0
KAL_009,Kalasa,13.138805308222908,75.27860133138314,37.8,34.2,28.0,5.5,4.83,597.0,105.0,ISRIC SoilGrids v2.0
YAR_000,Yaragatti,15.983209226265696,75.02699327443163,31.3,39.5,29.2,7.1,1.36,192.0,137.0,ISRIC SoilGrids v2.0
YAR_001,Yaragatti,15.873861101594748,74.99293154525913,26.2,46.1,27.7,6.4,1.57,243.0,131.0,ISRIC SoilGrids v2.0
YAR_002,Yaragatti,16.008979851924718,75.01015412686453,27.9,47.7,24.4,7.1,1.18,164.0,141.0,ISRIC SoilGrids v2.0
YAR_003,Yaragatti,15.916587128142773,75.02909664567763,29.6,45.5,24.9,6.9,1.22,200.0,138.0,ISRIC SoilGrids v2.0
YAR_004,Yaragatti,15.95587636289915,74.95199138335624,33.0,39.5,27.5,7.0,1.32,180.0,138.0,ISRIC SoilGrids v2.0
YAR_005,Yaragatti,16.005124315940996,74.94780239001484,31.8,46.6,21.6,6.7,1.14,193.0,140.0,ISRIC SoilGrids v2.0
YAR_006,Yaragatti,15.895815646480223,75.06615402013209,27.9,49.0,23.1,6.9,1.21,192.0,140.0,ISRIC SoilGrids v2.0
YAR_007,Yaragatti,15.936597921827028,74.95691717531051,30.3,45.9,23.8,6.8,1.36,176.0,137.0,ISRIC SoilGrids v2.0
YAR_008,Yaragatti,15.98100681869757,75.01822425103933,32.1,40.2,27.8,7.2,1.25,160.0,138.0,ISRIC SoilGrids v2.0
YAR_009,Yaragatti,15.959294333130831,75.06227305409828,34.6,36.1,29.3,7.5,1.31,207.0,138.0,ISRIC SoilGrids v2.0
ULL_000,Ullala,12.831088887504425,74.88929383761591,,,,,,,,
ULL_001,Ullala,12.809190409805266,74.93668303129763,35.0,50.1,14.9,5.8,2.78,334.0,128.0,ISRIC SoilGrids v2.0
ULL_002,Ullala,12.839677733202505,74.9236898319625,35.0,48.0,17.0,5.7,3.17,382.0,125.0,ISRIC SoilGrids v2.0
ULL_003,Ullala,12.832180335587813,74.84861883166533,,,,,,,,ISRIC SoilGrids v2.0
ULL_004,Ullala,12.801207236244068,74.91292024466564,35.8,47.3,16.9,5.9,2.67,374.0,125.0,ISRIC SoilGrids v2.0
ULL_005,Ullala,12.81328849170833,74.8576693228977,,,,,,,,ISRIC SoilGrids v2.0
ULL_006,Ullala,12.809759719950454,74.85575204372502,,,,,,,,ISRIC SoilGrids v2.0
ULL_007,Ullala,12.784202855787152,74.97295798564917,35.2,50.8,14.0,6.0,2.9,361.0,125.0,ISRIC SoilGrids v2.0
ULL_008,Ullala,12.852449237326187,74.95879825294492,34.8,49.2,16.0,5.7,3.2,398.0,119.0,ISRIC SoilGrids v2.0
ULL_009,Ullala,12.84384712626976,74.90879290695197,36.6,44.6,18.8,5.7,3.02,358.0,125.0,ISRIC SoilGrids v2.0
MUL_000,Mulki,13.066435725966548,74.80013838095518,30.5,43.5,26.0,6.1,3.0,386.0,124.0,ISRIC SoilGrids v2.0
MUL_001,Mulki,13.060518990858,74.87416373522787,34.5,46.6,18.9,5.7,2.67,450.0,123.0,ISRIC SoilGrids v2.0
MUL_002,Mulki,13.099093590551375,74.85214947575108,31.9,45.8,22.3,5.7,2.87,439.0,122.0,ISRIC SoilGrids v2.0
MUL_003,Mulki,13.06168520396126,74.84426646339216,33.8,47.1,19.1,5.7,2.76,441.0,126.0,ISRIC SoilGrids v2.0
MUL_004,Mulki,13.060093934220449,74.84321495348964,33.5,48.0,18.5,5.7,2.65,410.0,127.0,ISRIC SoilGrids v2.0
MUL_005,Mulki,13.031414692666823,74.79139733354839,33.0,34.9,32.1,5.9,3.17,489.0,119.0,ISRIC SoilGrids v2.0
MUL_006,Mulki,13.055798067104,74.87794012050146,35.2,45.7,19.2,5.7,2.99,401.0,123.0,ISRIC SoilGrids v2.0
MUL_007,Mulki,13.058685047328515,74.85165139782356,36.8,46.1,17.1,5.7,2.48,430.0,124.0,ISRIC SoilGrids v2.0
