taluk,latitude,longitude
Haveri,14.738948811634325,75.41646119616549
Chitradurga,14.168419519143018,76.51511737968279
Davanagere,14.30865713860268,75.94526172988698
Shivamogga,14.043366823499252,75.2208924975328
Chikkamagaluru,13.454006204412709,75.68977415571582
Vijayanagara,14.895701824048368,76.18798106452302
nan,14.608490944606798,75.655250885951
nan,14.398594743573039,75.52815871450001
nan,14.771852276571986,76.49400953260266
nan,14.809514018807702,76.24678253303351
nan,14.721976016623145,75.98222799523603
nan,14.36176472869074,76.72188038271632
nan,14.275493853969149,76.35108730982792
nan,14.051584052338425,76.1946669126722
nan,14.440749816287074,75.7655528487785
nan,14.552662675821422,76.29181483791972
nan,14.393412668820613,75.99079294415714
nan,14.23866855848784,75.69154616945961
nan,14.073420423570155,75.92265704571489
nan,14.13740016299783,75.56720355839532
nan,14.302866240093014,75.34480842652209
nan,13.960137470211324,75.51083212251729
nan,13.901258493047987,75.74246075189953
nan,13.670141057760727,75.78355594731715
nan,13.772419432254665,76.02064956524922
