taluk,centroid_lat,centroid_lon,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,avg_monthly_rainfall_mm,total_annual_rainfall_mm,avg_temperature_c,avg_humidity_pct,avg_root_zone_wetness,rainfall_trend,declared_crop,soil_suitability_score,water_availability_score
Harihar,14.440749816287074,75.7655528487785,38.1,34.0,28.0,6.8,1.44,169,143,3.19,45.91,25.22,69.89,0.6672,Stable,Cotton,75.0,65.0
Jagaluru,14.552662675821422,76.29181483791972,30.1,43.8,26.1,6.9,2.39,289,139,2.3,32.24,25.37,66.73,0.6655,Stable,Sunflower,90.0,65.0
Davanagere,14.393412668820613,75.99079294415714,36.5,37.9,25.6,7.1,1.56,210,144,2.3,32.24,25.37,66.73,0.6655,Stable,Rice,73.5,65.0
Honnali,14.23866855848784,75.69154616945961,32.5,39.3,28.2,6.8,1.56,207,142,4.03,59.35,24.28,74.25,0.6455,Stable,Cotton,75.0,64.4
Channagiri,14.073420423570155,75.92265704571489,32.0,43.7,24.2,7.0,1.32,194,143,4.03,59.35,24.28,74.25,0.6455,Stable,Maize,75.0,64.4
Nyamati,14.13740016299783,75.56720355839532,32.3,38.1,29.6,7.0,1.14,182,144,4.03,59.35,24.28,74.25,0.6455,Stable,Maize,75.0,64.4
